source_entity,target_entity,relationship_type,relationship_description,source_entity_id,target_entity_id
FanDuel Sportsbook,NBA League Pass,Uses,FanDuel Sportsbook uses NBA League Pass.,24a6b5d8-65c6-454e-b7a3-b1bc9c0999c0,741ab2de-8446-4e4d-ad4b-e2da1f2fad04
offer,bonus bets,Part-of,The offer is part of the bonus bets,02588a40-d452-4681-ac74-6d51934a0ada,70e50358-8181-4980-8179-77289bf829ed
FanDuel Sportsbook,draftkings,Affiliated-with,FanDuel Sportsbook is affiliated with draftkings,c9222e32-4496-4b87-90cb-b1e7586f8a38,ef6214ed-b489-4def-b28c-84fc762da39b
jan. 10,FanDuel Sportsbook,Happened-at,FanDuel Sportsbook launched on jan. 10,90d14fa3-a84d-4632-84ba-b2c44731e390,c9222e32-4496-4b87-90cb-b1e7586f8a38
Vermont,FanDuel Sportsbook,Located-in,FanDuel Sportsbook is located in Vermont,c759353f-9926-4778-8226-4ceefff223eb,c9222e32-4496-4b87-90cb-b1e7586f8a38
John Doe,DraftKings Sportsbook,Uses,John Doe uses the DraftKings Sportsbook to place bets.,146dc1ba-6a43-4c19-87fa-aaf9f9252896,826625c7-3044-46ee-91a0-ced7aae4f819
Steve Jobs,Apple,Affiliated-with,Steve Jobs is affiliated with Apple.,a0bb9d6e-0273-4c81-9545-ca38ce89e15a,d844a00c-5033-42e7-9439-3611a6f7c06d
DraftKings Sportsbook,Vermont,Located-in,DraftKings Sportsbook is located in Vermont.,e3fa9fd6-b256-49eb-8e1d-1b490a7438b2,dfdc802f-0850-4515-86e5-52cb49b7591b
DraftKings Sportsbook,Multi-part Welcome Offer,Affiliated-with,DraftKings Sportsbook is affiliated with the multi-part welcome offer.,e3fa9fd6-b256-49eb-8e1d-1b490a7438b2,347635aa-65cc-45c2-af9c-54f79aa6462c
DraftKings Sportsbook,Bonus Bet,Product,DraftKings Sportsbook offers bonus bets.,e3fa9fd6-b256-49eb-8e1d-1b490a7438b2,9bc62532-9f87-4e9f-9111-5cfca5a00402
DraftKings Sportsbook,Wage,Used-to,DraftKings Sportsbook uses wages to place bets.,e3fa9fd6-b256-49eb-8e1d-1b490a7438b2,85bd3253-a6e6-4072-8b53-d2e8197ad4da
DraftKings Sportsbook,Deposit Match Bonus,Product,DraftKings Sportsbook offers deposit match bonuses.,e3fa9fd6-b256-49eb-8e1d-1b490a7438b2,7d7be0be-d82c-42cb-8d5d-afd4ab9415e3
DraftKings Sportsbook,BetMGM Sportbook,Affiliated-with,DraftKings Sportsbook and BetMGM Sportbook are affiliated,f379769a-7151-46c3-a561-acfdaabb1b9e,2eac1290-f775-4cd8-b25a-71b3147d3ea6
Vermont,United States,Part-of,Vermont is a part of the United States,f7615530-7fbd-45ad-acc2-4c9cac058ded,fd5c9bb4-8497-4716-930a-45e5bd13d48b
betmgm sportsbook,free pools,Part-of,betmgm sportsbook is a part of the free pools,ae7becab-9c73-4927-8411-d706ebada35e,6d3b13f5-29e5-49f7-bc1f-e4944cb6a81d
betmgm sportsbook,ongoing refer-a-friend bonuses,Part-of,betmgm sportsbook is a part of the ongoing refer-a-friend bonuses,ae7becab-9c73-4927-8411-d706ebada35e,d0d85ee9-42b9-489e-b2d7-e51532c61074
betmgm sportsbook,more,Part-of,betmgm sportsbook is a part of the more,ae7becab-9c73-4927-8411-d706ebada35e,58b1f8b0-881e-47fa-a9ec-ece6af815536
betmgm rewards program,betmgm sportsbook,Part-of,betmgm rewards program is a part of the betmgm sportsbook,4fed3211-c191-49f6-84d1-ef46653dbdec,ae7becab-9c73-4927-8411-d706ebada35e
the welcome offer,betmgm sportsbook,Part-of,the welcome offer is a part of the betmgm sportsbook,812d5faa-8cb0-48e3-8a53-19eeeeaa3dff,ae7becab-9c73-4927-8411-d706ebada35e
the bonus code sports pic k,the welcome offer,Part-of,the bonus code sports pic k is a part of the welcome offer,e9e95134-5ed0-4052-849d-55d34e7c58ee,812d5faa-8cb0-48e3-8a53-19eeeeaa3dff
betmgm sportsbook account,deposit,Part-of,deposit is a part of the betmgm sportsbook account,806f030a-269a-41d8-a714-e096574d2eae,86fa1e48-b09e-4b73-b6f0-dfc7fba15d2f
betmgm sportsbook account,first bet,Part-of,first bet is a part of the betmgm sportsbook account,806f030a-269a-41d8-a714-e096574d2eae,315e6226-4c2c-44f7-b910-4549970b2b64
betmgm sportsbook account,bet being settled,Part-of,bet being settled is a part of the betmgm sportsbook account,806f030a-269a-41d8-a714-e096574d2eae,9b56cc99-f8e2-45ad-a18f-cf4eeaf802b1
betmgm sportsbook account,losing bets,Part-of,losing bets is a part of the betmgm sportsbook account,806f030a-269a-41d8-a714-e096574d2eae,850f20f8-b358-4b6e-97dc-fc7b62a62def
betmgm sportsbook account,bonus bet,Part-of,bonus bet is a part of the betmgm sportsbook account,806f030a-269a-41d8-a714-e096574d2eae,581ff995-9d91-401e-b2ad-dd0085374fc4
500 in bonus bets,betmgm sportsbook,Part-of,500 in bonus bets is a product offered by betmgm sportsbook,d084b31f-e749-44ed-8e13-42c0e4cdadfa,fa7f8d4d-2dc7-435b-a23d-282ccc5b4e2a
betmgm sportsbook,Vermont,Located-in,betmgm sportsbook is located in the state of vermont,fa7f8d4d-2dc7-435b-a23d-282ccc5b4e2a,9352fa43-57f4-4d56-bbb6-1c95dc6c4612
fanatics vermont promo code,fanatics sportsbook,Affiliated-with,fanatics vermont promo code is affiliated with fanatics sportsbook,311bbd95-b26d-4935-b4ca-8e9c2477c9a3,5840ab7b-b051-4fe6-8958-de0fe7cba80a
fanatics sportsbook,Vermont,Located-in,fanatics sportsbook is located in the state of vermont,5840ab7b-b051-4fe6-8958-de0fe7cba80a,9352fa43-57f4-4d56-bbb6-1c95dc6c4612
FanDuel Sportsbook,ESPN Bet,Affiliated-with,FanDuel Sportsbook is affiliated with ESPN Bet.,8e9abf92-212e-43ef-ad34-8caa4ea93d90,12b48fba-2161-48ef-bf5c-640ba9ce133c
FanDuel Sportsbook,Bars & Tool Sportsbook,Part-of,FanDuel Sportsbook is part of the Bars & Tool Sportsbook.,8e9abf92-212e-43ef-ad34-8caa4ea93d90,1d4529f6-64ff-43c3-838e-5d7bbf02af2a
Vermont,FanDuel Sportsbook,Located-in,Vermont is located in the FanDuel Sportsbook.,ee54d0dd-c195-4903-a4be-f8f51d0467cc,8e9abf92-212e-43ef-ad34-8caa4ea93d90
espn bet,virginia,Located-in,espn bet is located in the state of virginia,dd30f1d0-2579-439e-b019-5e2f8ae0ae88,97e03658-30e7-4ff9-965e-de71420664c9
espn bet,vermont,Located-in,espn bet is located in the state of vermont,dd30f1d0-2579-439e-b019-5e2f8ae0ae88,2754ea33-248c-4542-a1a6-edd4120dcccd
virginia,united states,Part-of,virginia is a part of the united states,97e03658-30e7-4ff9-965e-de71420664c9,62a9c079-9437-418e-aa6e-a8586020c0dd
vermont,united states,Part-of,vermont is a part of the united states,2754ea33-248c-4542-a1a6-edd4120dcccd,62a9c079-9437-418e-aa6e-a8586020c0dd
caesar ##s,virginia,Located-in,caesar ##s is located in the state of virginia,da8f1b0c-4e8a-4f3f-bcab-83656684cba3,97e03658-30e7-4ff9-965e-de71420664c9
caesar ##s,vermont,Located-in,caesar ##s is located in the state of vermont,da8f1b0c-4e8a-4f3f-bcab-83656684cba3,2754ea33-248c-4542-a1a6-edd4120dcccd
site bonuses,Other,Part-of,site bonuses are a part of the overall offerings of the site,c5697323-b61d-4cfb-9131-b38eb926f646,
Caesar's Sports Book,Sportsbook,Is-a,Caesar's Sports Book is a type of sportsbook,acc6e815-1a08-451e-9778-d63115898679,
news #100 #0,Bonus Code,Is-a,news #100 #0 is a type of bonus code,7a4f300b-b78f-4c9e-a12d-ae3203aecc66,
Vermont,Location,Is-a,Vermont is a type of location,bdb0c866-2a98-446a-be99-6806004708d6,
BetRiver Vermont,Sportsbook,Is-a,BetRiver Vermont is a type of sportsbook,81fda523-b532-484c-b201-e059013b62ae,
BetRiver Sportsbook,Sportsbook,Is-a,BetRiver Sportsbook is a type of sportsbook,b713be8a-2fe2-4688-ba98-b32aa8d543b3,
Second Chance Welcome Offer,Promotion,Is-a,Second Chance Welcome Offer is a type of promotion,dc3f1e2b-7d1f-426a-a0b2-24ef50ebc7cd,
First bet,Bet,Is-a,First bet is a type of bet,6bf0bc4a-c110-4edb-a0f2-cf3710c3715f,
Free bet refund,Promotion,Is-a,Free bet refund is a type of promotion,18f31ece-3242-40e7-b8d5-9394e74b69e7,
Wage #r,Bet,Is-a,Wage #r is a type of bet,3c56414f-aa19-4464-844d-e3bddcefdf54,
Bet Rivers,Sportsbook,Is-a,Bet Rivers is a type of sportsbook,218a9c1b-1ffe-416f-999f-40fbfa49bb1e,
Caesars Entertainment,Company,Is-a,Caesars Entertainment is a type of company,002c5fda-4a4d-4c45-bfe1-f7ca536784d0,
well-liked loyalty program,irush rewards,Part-of,The loyalty program is a part of the rewards program.,b1939250-bd97-43b5-85cc-bd9bd35a2d21,8cc9e5a8-e02a-4404-b431-b9b2f64d0df9
betrivers sportsbook,bonus code sports riv,Used-to-get,The bonus code can be used to get access to the sports betting platform.,371532d6-a200-42e6-82d2-937cc21c8e9a,27330bdc-2461-4ffe-af45-0c02d0e3591c
vermont,betrivers sportsbook,Located-in,The sports betting platform is located in the state of Vermont.,5cf7c26d-aa32-4bd8-bb05-ba90172633af,371532d6-a200-42e6-82d2-937cc21c8e9a
john doe,microsoft,Worked-for,John Doe worked for Microsoft.,4d76b0bb-60f5-4d15-8c77-f7c56203541d,06edaa91-34b2-4900-a915-526a03667bf6
new online betting sites in vermont,deposit match bonuses,Offered-by,deposit match bonuses are offered by new online betting sites in vermont,49e106b6-1464-4360-b76e-383b9244cb09,32af5a4f-8459-4d53-bffc-c371a0b8d2b5
new online betting sites in vermont,odds boost ##s,Offered-by,odds boost ##s are offered by new online betting sites in vermont,49e106b6-1464-4360-b76e-383b9244cb09,1c141af5-f684-4bf3-87fc-43c4bdb21fe6
new online betting sites in vermont,bet insurance,Offered-by,bet insurance is offered by new online betting sites in vermont,49e106b6-1464-4360-b76e-383b9244cb09,a45f3d9b-1af6-46f4-939b-ef18fc7f4f9a
new online betting sites in vermont,bet & get bonuses,Offered-by,bet & get bonuses are offered by new online betting sites in vermont,49e106b6-1464-4360-b76e-383b9244cb09,008e284c-797e-4da4-8399-8c0e61ed23a3
deposit match bonuses,sports ##books,Attached-to,deposit match bonuses are attached - to by sports ##books,32af5a4f-8459-4d53-bffc-c371a0b8d2b5,7e93220e-ae56-481b-9394-58d053a31971
odds boost ##s,sports ##books,Attached-to,odds boost ##s are attached - to by sports ##books,1c141af5-f684-4bf3-87fc-43c4bdb21fe6,7e93220e-ae56-481b-9394-58d053a31971
bet insurance,sports ##books,Attached-to,bet insurance is attached - to by sports ##books,a45f3d9b-1af6-46f4-939b-ef18fc7f4f9a,7e93220e-ae56-481b-9394-58d053a31971
bet & get bonuses,sports ##books,Attached-to,bet & get bonuses are attached - to by sports ##books,008e284c-797e-4da4-8399-8c0e61ed23a3,7e93220e-ae56-481b-9394-58d053a31971
odds boost ##s,odds boost ##s,Provides,odds boost ##s provides better than the usual odds on specific bets,1c141af5-f684-4bf3-87fc-43c4bdb21fe6,1c141af5-f684-4bf3-87fc-43c4bdb21fe6
bet insurance,bet insurance,Provides,bet insurance provides a ref ##und if you lose a specific bet or your par ##lay comes up one leg short,a45f3d9b-1af6-46f4-939b-ef18fc7f4f9a,a45f3d9b-1af6-46f4-939b-ef18fc7f4f9a
bet & get bonuses,bet & get bonuses,Provides,bet & get bonuses provides a bonus when you place a specific bet,008e284c-797e-4da4-8399-8c0e61ed23a3,008e284c-797e-4da4-8399-8c0e61ed23a3
deposit match bonuses,refer ##ral bonuses,Part-of,deposit match bonuses are part - of refer ##ral bonuses,32af5a4f-8459-4d53-bffc-c371a0b8d2b5,55d4933f-dae4-482c-ad96-a01eb3dd6064
odds boost ##s,refer ##ral bonuses,Part-of,odds boost ##s are part - of refer ##ral bonuses,1c141af5-f684-4bf3-87fc-43c4bdb21fe6,55d4933f-dae4-482c-ad96-a01eb3dd6064
bet insurance,refer ##ral bonuses,Part-of,bet insurance is part - of refer ##ral bonuses,a45f3d9b-1af6-46f4-939b-ef18fc7f4f9a,55d4933f-dae4-482c-ad96-a01eb3dd6064
bet & get bonuses,refer ##ral bonuses,Part-of,bet & get bonuses are part - of refer ##ral bonuses,008e284c-797e-4da4-8399-8c0e61ed23a3,55d4933f-dae4-482c-ad96-a01eb3dd6064
deposit match bonuses,first - bet offers,Provides,deposit match bonuses provides a ref ##und if you lose your first bet,32af5a4f-8459-4d53-bffc-c371a0b8d2b5,a24dd822-50c5-4442-9695-5310bd31bcfa
odds boost ##s,first - bet offers,Provides,odds boost ##s provides a ref ##und if you lose your first bet,1c141af5-f684-4bf3-87fc-43c4bdb21fe6,a24dd822-50c5-4442-9695-5310bd31bcfa
wage_ring_requirements,vermont_sports_book_bonus_and_promo_conditions,Part-of,Wage ring requirements are part of the bonus and promo conditions at Vermont online sports betting sites.,e0b8e75a-060b-4b8a-bcb7-d58ba2bd2702,75aee01d-e608-43c3-a888-07e5951c7909
wage_ring_requirements,vermont_sports_book_bonus_and_promo_conditions,Part-of,Wage ring requirements are part of the bonus and promo conditions at Vermont online sports betting sites.,d83db336-5e64-4deb-914c-0b4132f9858c,75aee01d-e608-43c3-a888-07e5951c7909
bonus_bets,vermont_sports_book_bonus_and_promo_conditions,Part-of,Bonus bets are part of the bonus and promo conditions at Vermont online sports betting sites.,31fe2545-1324-44d7-9289-7bc06ff932b4,75aee01d-e608-43c3-a888-07e5951c7909
vermont_sports_book,vermont_sports_book_bonus_and_promo_conditions,Located-in,Vermont sports book is located in the bonus and promo conditions at Vermont online sports betting sites.,69f47b50-8822-473a-b977-7896362ec2ef,75aee01d-e608-43c3-a888-07e5951c7909
world_series_odds,vermont_sports_book_bonus_and_promo_conditions,Part-of,World series odds are part of the bonus and promo conditions at Vermont online sports betting sites.,b1c0b537-b3d1-4fda-88db-ba7739a1fa60,75aee01d-e608-43c3-a888-07e5951c7909
super_bowl_betting_lines,vermont_sports_book_bonus_and_promo_conditions,Part-of,Super bowl betting lines are part of the bonus and promo conditions at Vermont online sports betting sites.,3910c919-c02d-42d1-9a64-18e4824b7a5c,75aee01d-e608-43c3-a888-07e5951c7909
march_madness,vermont_sports_book_bonus_and_promo_conditions,Part-of,March madness is part of the bonus and promo conditions at Vermont online sports betting sites.,b8efec93-06c9-4285-bd53-1efe80cc3d87,75aee01d-e608-43c3-a888-07e5951c7909
vermont_online_sports_betting_sites,vermont_sports_book_bonus_and_promo_conditions,Located-in,Vermont online sports betting sites are located in the bonus and promo conditions at Vermont online sports betting sites.,b853a18d-d0aa-4698-8bbe-c27465d24d86,75aee01d-e608-43c3-a888-07e5951c7909
banking_options,vermont_sports_book_bonus_and_promo_conditions,Part-of,Banking options are part of the bonus and promo conditions at Vermont online sports betting sites.,a44c55b9-adeb-4b98-b1aa-ef7ed2cda9cd,75aee01d-e608-43c3-a888-07e5951c7909
wage_ring_requirements,vermont_sports_book,Located-in,Wage ring requirements are located in the Vermont sports book.,e0b8e75a-060b-4b8a-bcb7-d58ba2bd2702,69f47b50-8822-473a-b977-7896362ec2ef
wage_ring_requirements,vermont_sports_book,Located-in,Wage ring requirements are located in the Vermont sports book.,d83db336-5e64-4deb-914c-0b4132f9858c,69f47b50-8822-473a-b977-7896362ec2ef
bonus_bets,vermont_sports_book,Located-in,Bonus bets are located in the Vermont sports book.,31fe2545-1324-44d7-9289-7bc06ff932b4,69f47b50-8822-473a-b977-7896362ec2ef
vermont_sports_book,vermont_sports_book_bonus_and_promo_conditions,Located-in,Vermont sports book is located in the bonus and promo conditions.,69f47b50-8822-473a-b977-7896362ec2ef,75aee01d-e608-43c3-a888-07e5951c7909
Vermont,Boston Red Sox,Part-of,"Vermont is a part of the United States, and the United States is part of North America. Boston Red Sox is a professional baseball team based in Boston, Massachusetts, and Boston is located in the state of Massachusetts, which is a part of the United States.",722290b5-a758-4b1b-93a5-7f7c889ed67e,1c8adf6e-2786-4941-8a13-639fefe22ebe
Vermont,New England Patriots,Part-of,"Vermont is a part of the United States, and the United States is part of North America. New England Patriots is a professional football team based in Foxborough, Massachusetts, and Foxborough is located in the state of Massachusetts, which is a part of the United States.",722290b5-a758-4b1b-93a5-7f7c889ed67e,8b22d3d5-6738-47ca-a7e6-1f07db920689
Vermont,NBA,Part-of,"Vermont is a part of the United States, and the United States is a part of North America. NBA is the National Basketball Association, a professional basketball league in the United States, and the United States is a part of North America.",722290b5-a758-4b1b-93a5-7f7c889ed67e,f4e67f34-cbe1-4917-9864-90963a5f1765
Vermont,NHL,Part-of,"Vermont is a part of the United States, and the United States is a part of North America. NHL is the National Hockey League, a professional hockey league in North America, and North America is a part of the Western Hemisphere.",722290b5-a758-4b1b-93a5-7f7c889ed67e,86539fbe-d9e0-468b-a7fd-1fe4f5284ed9
Vermont,MLB,Part-of,"Vermont is a part of the United States, and the United States is a part of North America. MLB is the Major League Baseball, a professional baseball league in the United States, and the United States is a part of North America.",722290b5-a758-4b1b-93a5-7f7c889ed67e,31966d5c-8467-4ef1-9365-e1e582697c44
Vermont,Vermont Online Sportsbooks,Located-in,"Vermont is a state in the northeastern United States, and the United States is a country in North America. Vermont Online Sportsbooks is an online sports betting company, and Vermont is located in the northeastern United States.",722290b5-a758-4b1b-93a5-7f7c889ed67e,beade95f-a70a-4606-a6b8-0f38a61c6b01
Rani Zim,Psagot Investment House,Affiliated-with,Rani Zim is affiliated with Psagot Investment House.,ced348ed-d7d0-4bd7-8e9a-0b9308771c43,4bcc83fc-0556-43b3-9aa5-4916cd632ac1
Rani Zim,Kimat Hinam Supermarket Chain,Part-of,Rani Zim is part of Kimat Hinam Supermarket Chain.,ced348ed-d7d0-4bd7-8e9a-0b9308771c43,80ab8f2e-13b4-4e26-8dd6-1671b1cf2172
Rani Zim,Group Psagot for Finance and Investments (TASE: GPSG),Affiliated-with,Rani Zim is affiliated with Group Psagot for Finance and Investments (TASE: GPSG).,ced348ed-d7d0-4bd7-8e9a-0b9308771c43,b6f90c0e-4195-4fb1-bcbd-814f4ad08434
Group Psagot for Finance and Investments (TASE: GPSG),Psagot Investment House,Part-of,Group Psagot for Finance and Investments (TASE: GPSG) is part of Psagot Investment House.,b6f90c0e-4195-4fb1-bcbd-814f4ad08434,4bcc83fc-0556-43b3-9aa5-4916cd632ac1
Rani Zim,Mizrahi Tefahot Bank,Used-by,Rani Zim used Mizrahi Tefahot Bank.,ced348ed-d7d0-4bd7-8e9a-0b9308771c43,bda6f3f1-2e16-4e82-a0aa-fc3e8e44ca43
Group Psagot,Psagot Investment House,Part-of,Group Psagot is part of Psagot Investment House.,b3e521f4-5753-4e34-a1fb-79c604b143e4,994f1c97-4e5c-40dc-a05a-6c520e7eae2a
Group Psagot,Mizrahi-Tefahot Bank,Affiliated-with,Group Psagot is affiliated with Mizrahi-Tefahot Bank.,b3e521f4-5753-4e34-a1fb-79c604b143e4,69e3c97d-6936-4eaa-9e60-9a7d9b46c104
Psagot Investment House,Mizrahi-Tefahot Bank,Part-of,Psagot Investment House is part of Mizrahi-Tefahot Bank.,994f1c97-4e5c-40dc-a05a-6c520e7eae2a,69e3c97d-6936-4eaa-9e60-9a7d9b46c104
Series C Bonds,Mizrahi-Tefahot Bank,Ownership,Mizrahi-Tefahot Bank owns Series C Bonds.,822c7c62-96e2-4d05-81f3-9298eb4c89b1,69e3c97d-6936-4eaa-9e60-9a7d9b46c104
##cle the debt,bonds,Part-of,The debt being paid off is part of the bonds.,c026fa86-32e8-4b99-b30a-af90edf0b1de,eabae1f0-8f7c-432f-a8a8-3a043e4d32aa
group ps ##ago ##t,ps ##ago ##t,Formerly-known-as,Group ps ##ago ##t was formerly known as ps ##ago ##t.,466ee44d-ad97-43a2-9620-32a3c55fda3c,455dde66-5fab-48f9-8c7c-4168f4e11bbd
z ##im,group ps ##ago ##t,Invested-in,Z ##im invested in group ps ##ago ##t.,f1c30635-47c5-494f-aaa6-beaf1acb75af,466ee44d-ad97-43a2-9620-32a3c55fda3c
group ps ##ago ##t,z ##im,Part-of,Group ps ##ago ##t is part of z ##im.,466ee44d-ad97-43a2-9620-32a3c55fda3c,f1c30635-47c5-494f-aaa6-beaf1acb75af
ni ##s,z ##im,Invested-in,Z ##im invested nearly ni ##s 130 million of his own capital in buying control of ps ##ago ##t.,ae908292-01d7-441c-9f16-e992e022657a,f1c30635-47c5-494f-aaa6-beaf1acb75af
globe ##s,z ##im,Interviewee,Z ##im was interviewed by globe ##s.,f51d4798-2c0f-4d84-8ebe-d7e50e259bb7,f1c30635-47c5-494f-aaa6-beaf1acb75af
ps##ago##t,yan##iv bender,Affiliated-with,yan##iv bender is affiliated with ps##ago##t,6455bc9c-bd38-42eb-a5ae-bc3819e3c8ff,a13f7e52-a1c6-488e-a9b8-ab928b917aac
ps##ago##t,group ps##ago##t ceo,Affiliated-with,group ps##ago##t ceo is affiliated with ps##ago##t,6455bc9c-bd38-42eb-a5ae-bc3819e3c8ff,359ead78-eaee-4f10-b743-63be8a8026da
ps##ago##t,ke##sse##m,Part-of,ke##sse##m is a part of ps##ago##t,6455bc9c-bd38-42eb-a5ae-bc3819e3c8ff,e5306ad8-b4c2-4620-9ca8-541a835389bf
ps##ago##t,phoenix holdings group,Part-of,phoenix holdings group is a part of ps##ago##t,6455bc9c-bd38-42eb-a5ae-bc3819e3c8ff,ae4e5fe1-878e-4e8d-9861-2f94e2127c7a
ke##sse##m,phoenix holdings group,Affiliated-with,phoenix holdings group is affiliated with ke##sse##m,e5306ad8-b4c2-4620-9ca8-541a835389bf,ae4e5fe1-878e-4e8d-9861-2f94e2127c7a
PSAGOT,Rani Zim,Affiliated-with,"PSAGOT is affiliated with Rani Zim, who is the chairperson of PSAGOT.",,
PSAGOT,Zim,Affiliated-with,"PSAGOT is affiliated with Zim, who is the founder of PSAGOT.",,
PSAGOT,Menny Guy,Affiliated-with,"PSAGOT is affiliated with Menny Guy, who is the founder of Applicheck and the current owner of a 20% stake in PSAGOT.",,
PSAGOT,Applicheck,Affiliated-with,"PSAGOT is affiliated with Applicheck, which is a privately held company.",,
Applicheck,Menny Guy,Affiliated-with,"Applicheck is affiliated with Menny Guy, who is the founder of Applicheck and the current owner of a 20% stake in PSAGOT.",,
Israel,PSAGOT,Located-in,PSAGOT is located in Israel.,,
PSAGOT,Rani Zim,Works-for,Rani Zim works for PSAGOT.,,
PSAGOT,Zim,Works-for,Zim works for PSAGOT.,,
PSAGOT,Menny Guy,Works-for,PSAGOT works for Menny Guy.,,
PSAGOT,Applicheck,Part-of,PSAGOT is a part of Applicheck.,,
PSAGOT,Israel,Located-in,PSAGOT is located in Israel.,,
PSAGOT,2023,Part-of,PSAGOT is a part of 2023.,,
October 2023,PSAGOT,Part-of,October 2023 is a part of PSAGOT.,,
October 2023,2023,Part-of,October 2023 is a part of 2023.,,
November 2023,PSAGOT,Part-of,November 2023 is a part of PSAGOT.,,
la ##gga ##rds,harvey norman,Located-in,Harvey Norman is located in the la ##gga ##rds,599efd41-05bc-49b0-9515-e4b177ffd08e,a6457883-1e4b-4870-8e03-96e0a0e75c76
wes ##far ##mers,evolution,Part-of,Evolution is a part of wes ##far ##mers,d466d26c-cb09-41d8-8959-b7c6d019e2ab,8213ee17-e04d-4f74-bcc4-d3d6757d9cef
northern star,evolution,Part-of,Evolution is a part of northern star,581a2ac1-e86c-4cbc-8395-def9aee3786b,8213ee17-e04d-4f74-bcc4-d3d6757d9cef
next ##dc,us stocks,Stock,us stocks is a stock of next ##dc,4dee39db-5605-477e-ba66-45fc2e9130c6,30171c7a-4f0f-47d2-9f2e-aeca08f731e1
re ##a group,us stocks,Stock,us stocks is a stock of re ##a group,b23eb680-1bf5-4fc6-975f-a41627a3a4b7,30171c7a-4f0f-47d2-9f2e-aeca08f731e1
res ##med,l ##ion ##town resources,Part-of,l ##ion ##town resources is a part of res ##med,5100c929-120e-43cf-93e1-f66ee1c6252e,a9a9ef18-a1ed-4bd7-9209-37ee11049e3f
rb ##c,new ##crest,Works-for,rb ##c works for new ##crest,b110815a-41d0-4383-a818-d5dc6344f95b,b4163013-4140-4d68-9cc4-c46a1705c6d3
new ##crest,us gold mining giant new ##mont,Related-to,new ##crest is related to us gold mining giant new ##mont,b4163013-4140-4d68-9cc4-c46a1705c6d3,43c7a86d-7a2c-455c-a452-fb4abde4dd10
p 500,fed,Affiliated-with,The p 500 is affiliated with the fed.,3803dd2a-fe1f-4b92-8d6c-e9975028ae96,dddd738b-25df-4f08-ab04-5ab2bd119466
30 - year treasury bonds,fed,Used-by,The fed uses 30 - year treasury bonds.,815e139f-1ae2-4664-80bf-24eac80fea57,dddd738b-25df-4f08-ab04-5ab2bd119466
inflation report,fed,Output-of,The fed produces the inflation report.,81955e35-6f02-4b69-9ffc-994b9c73880f,dddd738b-25df-4f08-ab04-5ab2bd119466
us workers,unemployment benefits,Part-of,Unemployment benefits are a part of the job market,35d5c62e-6d03-4128-af86-c7d272784012,0ea9769f-6ab8-4071-9119-0d435f7e77bc
job market,overall economy,Located-in,The job market is located in the overall economy,7fe08ac3-ecb2-4cbd-9ab5-c8a8ac92d9b9,711bf78e-7beb-4084-997b-6a55b09043ac
fed,10 - year treasury yield,Works-for,The fed works for the 10 - year treasury yield,d9a085fc-0128-4799-96a3-dbd299a96566,c8a36a8e-8188-4f20-a05e-c10beb58ec53
fed,two - year treasury yield,Works-for,The fed works for the two - year treasury yield,d9a085fc-0128-4799-96a3-dbd299a96566,03435987-654e-4e15-9974-1389f1abfed6
10 - year treasury yield,mortgage rates,Use,Mortgage rates use the 10 - year treasury yield,c8a36a8e-8188-4f20-a05e-c10beb58ec53,f3381c19-f6fc-425f-be0d-33e3fb7927a4
inflation report,fed,Affiliated-with,The fed is affiliated with the inflation report,f027cf8a-6f21-40bd-9c9f-5654ce42111e,d9a085fc-0128-4799-96a3-dbd299a96566
Delta Air Lines,John Doe,Works-for,John Doe worked at Delta Air Lines.,,
Delta Air Lines,Mike Cannon-Brookes,Works-for,Mike Cannon-Brookes worked at Delta Air Lines.,,
Ford Motors,John Doe,Works-for,John Doe worked at Ford Motors.,,
Ford Motors,Mike Cannon-Brookes,Works-for,Mike Cannon-Brookes worked at Ford Motors.,,
Ford Motors,Steve Jobs,Works-for,Steve Jobs worked at Ford Motors.,,
Delta Air Lines,Delta Air Lines,Part-of,Delta Air Lines is a part of Delta Air Lines.,,
welcome back to the interchange,the interchange,Part-of,The interchange is a part of the welcome back to the interchange,93d8a3aa-6163-4605-bad1-5ee55e953544,fb366912-978e-4d62-92d5-dad4dfccc9cd
hot fin ##tech news,the interchange,Part-of,The interchange is a part of the hot fin ##tech news,a40e4993-bd99-4a50-a45f-10abca6657a3,fb366912-978e-4d62-92d5-dad4dfccc9cd
week,the interchange,Part-of,The interchange is a part of the week,0cc830b8-f4be-4bee-a837-d8e7548b8d8f,fb366912-978e-4d62-92d5-dad4dfccc9cd
sign up,the interchange,Part-of,The interchange is a part of the sign up,80a73867-84f7-4f9d-9fbb-9d1282c0e1a8,fb366912-978e-4d62-92d5-dad4dfccc9cd
rainforest,atlanta,Located-in,Atlanta is located in the rainforest,a5821153-ec72-497d-970d-b52739822000,0a386bd9-0158-4245-968e-1f815a58b27b
rainforest,fis ##er ##v,Part-of,Rainforest is taking on fis ##er ##v,a5821153-ec72-497d-970d-b52739822000,05cba325-dfde-48b8-9e24-2adecf3cc322
rainforest,fis,Part-of,Rainforest is taking on fis,a5821153-ec72-497d-970d-b52739822000,05ff4133-8fef-457a-9062-c4ca05370bc0
